Station           Index       lat          lon            type
Germany           DERP044     50.6994      7.3753         ap
Germany           DESN045     50.8924      14.8228        ap
Germany           DESN051     51.1195      13.675         ap
Germany           DEST002     52.2684      11.8648        ap
Germany           DENW378     51.6131      7.4734         ap
Germany           DERP043     50.2751      7.6521         ap
Germany           DEST104     51.8373      11.8914        ap
Germany           DESN025     51.3442      12.3772        ap
Germany           DERP047     49.7839      6.6905         ap
Germany           DESN074     50.6591      13.4651        ap
Germany           DESL010     49.2442      6.9488         ap
Germany           DETH061     50.7916      11.6612        ap
Germany           DESN061     51.0649      13.7414        ap
Germany           DEST092     51.8675      12.5983        ap
Germany           DESN104     50.8552      12.9594        ap
Germany           DESN077     51.3359      12.3347        ap
Germany           DEUB001     54.925       8.3082         ap
Germany           DERP022     49.8421      7.8662         ap
Germany           DETH117     50.9931      11.0566        ap
Germany           DESN006     51.125       12.4931        ap
Germany           DETH011     50.9878      12.4376        ap
Germany           DEUB005     52.8008      10.7567        ap
Germany           DEUB030     53.1413      13.0317        ap
Germany           DEUB004     47.9133      7.908          ap
Germany           DEUB028     54.437       12.7219        ap
Greece            GR0038A     38.0513      23.5384        ap
Greece            GR0039A     37.9951      23.8194        ap
Hungary           HU0052A     47.1075      17.9028        ap
Hungary           HU0041A     47.5081      19.0281        ap
Hungary           HU0030A     46.0711      18.2253        ap
Hungary           HU0046A     46.9023      19.6888        ap
Hungary           HU0032A     47.3067      18.92          ap
Hungary           HU0025A     47.6761      17.6497        ap
Hungary           HU0023A     47.5133      21.6244        ap
Hungary           HU0002R     46.9667      19.55          ap
Hungary           HU0047A     46.7328      18.0325        ap
Hungary           HU0040A     47.6719      16.8389        ap
Hungary           HU0048A     47.2383      16.6081        ap
Hungary           HU0044A     48.4739      21.2117        ap
Hungary           HU0022A     47.4308      19.1842        ap
Hungary           HU0027A     48.1069      20.79          ap
Hungary           HU0049A     47.765       20.0481        ap
Hungary           HU0050A     46.97        18.9369        ap
Hungary           HU0039A     47.79        18.7461        ap
Ireland           IE0028A     53.3539      -6.2781        ap
Ireland           IE0118A     53.8511      -9.2997        ap
Ireland           IE0090A     54.0661      -6.8831        ap
Ireland           IE0110A     51.8819      -8.4567        ap
Ireland           IE004CP     53.2736      -9.0859        ap
Italy             IT1883A     44.3153      8.4856         ap
Italy             IT0983A     45.7358      7.3242         ap
Italy             IT2214A     40.7404      14.6435        ap
Italy             IT2291A     40.6205      16.1474        ap
Italy             IT1536A     44.1178      9.8428         ap
Italy             IT2276A     41.156       15.0968        ap
Italy             IT1232A     44.3824      8.2806         ap
Italy             IT2228A     41.1157      14.78          ap
Italy             IT1847A     45.0348      6.8359         ap
Italy             IT1143A     44.2725      8.4389         ap
Italy             IT1529A     44.3817      7.5382         ap
Italy             IT1676A     45.4403      8.6197         ap
Italy             IT1898A     38.0124      12.5469        ap
Italy             IT1962A     41.4789      14.0333        ap
Italy             IT1932A     40.3644      18.1731        ap
Italy             IT1614A     40.4119      17.2839        ap
Italy             IT2286A     44.2618      8.4457         ap
Italy             IT0469A     45.0759      7.6782         ap
Italy             IT2238A     38.399       16.0718        ap
Italy             IT2297A     38.1051      13.3465        ap
Italy             IT2226A     40.9209      14.3895        ap
Italy             IT2275A     38.1743      15.5465        ap
Italy             IT1857A     42.6572      13.7094        ap
Italy             IT1856A     42.3642      13.3831        ap
Italy             IT1121A     45.1758      7.5602         ap
Italy             IT1798A     41.5542      14.6747        ap
Italy             IT0187A     44.8425      11.6131        ap
Italy             IT1899A     37.5157      15.0108        ap
Italy             IT2087A     38.9596      16.2952        ap
Italy             IT1611A     40.4886      17.2258        ap
Italy             IT2089A     38.9183      16.5793        ap
Italy             IT2235A     38.8771      16.6576        ap
Italy             IT1728A     42.5522      12.6517        ap
Italy             IT1878A     45.3189      8.4024         ap
Italy             IT1043A     44.0625      12.5533        ap
Italy             IT1997A     38.1906      15.2491        ap
Italy             IT1509A     45.4097      8.7861         ap
Italy             IT0892A     44.4833      11.355         ap
Italy             IT2094A     38.3909      16.2345        ap
Italy             IT2236A     39.711       16.2176        ap
Italy             IT1180A     43.1031      12.3661        ap
Italy             IT2118A     44.4019      7.8146         ap
Italy             IT1901A     43.3528      12.5764        ap
Italy             IT1938A     39.3134      16.2452        ap
Italy             IT2031A     39.0681      17.1142        ap
Italy             IT0804A     44.7936      10.3317        ap
Italy             IT1114A     45.1391      7.0501         ap
Italy             IT1680A     40.7008      17.3319        ap
Italy             IT2093A     38.6646      16.0802        ap
Italy             IT1801A     41.9981      14.9933        ap
Italy             IT2110A     39.4896      16.3868        ap
Italy             IT2274A     37.2917      13.5323        ap
Italy             IT2237A     39.652       16.5413        ap
Italy             IT2166A     42.3461      14.1378        ap
Italy             IT2161A     41.7794      14.1036        ap
Italy             IT1771A     44.6506      10.9063        ap
Italy             IT2010A     40.8314      8.4053         ap
Italy             IT2028A     38.105       15.6388        ap
Italy             IT0663A     45.7144      11.3686        ap
Italy             IT1347A     40.815       8.3603         ap
Italy             IT1654A     43.8728      11.0919        ap
Italy             IT2068A     42.7433      12.6664        ap
Italy             IT1277A     40.575       9.6944         ap
Italy             IT0963A     45.4992      12.2622        ap
Italy             IT1214A     45.0397      11.7911        ap
Italy             IT1365A     42.5819      12.6236        ap
Italy             IT1177A     45.5606      11.5397        ap
Italy             IT1871A     45.2267      11.6658        ap
Italy             IT1940A     35.2891      15.0048        ap
Italy             IT2005A     40.9275      9.4917         ap
Italy             IT1269A     39.07        9.0167         ap
Italy             IT1243A     40.7103      8.5514         ap
Italy             IT2071A     45.6003      11.9022        ap
Italy             IT2056A     39.2358      9.115          ap
Italy             IT0448A     45.4294      12.3139        ap
Italy             IT1848A     45.59        11.0378        ap
Italy             IT1996A     40.2564      8.7731         ap
Italy             IT1827A     43.6117      13.5086        ap
Italy             IT1936A     45.4383      12.2056        ap
Italy             IT0861A     43.7731      11.2722        ap
Italy             IT1947A     39.0667      9.0089         ap
Italy             IT2049A     39.2864      9.0114         ap
Italy             IT2011A     39.8425      9.2164         ap
Italy             IT1149A     43.2478      10.8817        ap
Italy             IT1880A     45.4333      11.8906        ap
Italy             IT2070A     45.3775      11.94          ap
Italy             IT2243A     45.433       11.0301        ap
Italy             IT2059A     40.5533      8.3247         ap
Italy             IT1993A     39.2606      9.1364         ap
Italy             IT1375A     39.4436      9.0153         ap
Italy             IT1575A     39.1772      8.4303         ap
Italy             IT2154A     42.9319      10.5242        ap
Italy             IT1222A     45.6303      12.5917        ap
Italy             IT0950A     43.4611      11.8889        ap
Italy             IT2009A     40.7244      8.5761         ap
Italy             IT1576A     39.2033      8.3861         ap
Italy             IT2183A     43.5689      10.3327        ap
Italy             IT2240A     43.8328      10.5005        ap
Italy             IT1590A     45.6725      12.2386        ap
Italy             IT1619A     46.0308      11.9058        ap
Italy             IT1397A     39.2269      8.9958         ap
Italy             IT2040A     39.2328      9.1881         ap
Italy             IT1016A     45.4697      9.1981         ap
Italy             IT1334A     46.4953      11.3403        ap
Italy             IT1385A     45.8739      10.1775        ap
Italy             IT1692A     45.4783      9.2358         ap
Italy             IT1010A     45.4675      8.8925         ap
Italy             IT1865A     44.9969      11.0708        ap
Italy             IT1868A     45.1606      10.7956        ap
Italy             IT1037A     46.0632      11.1263        ap
Italy             IT0707A     45.6903      9.6439         ap
Italy             IT0858A     44.3964      8.9922         ap
Italy             IT1841A     41.7978      12.6069        ap
Italy             IT1200A     41.62        13.3308        ap
Italy             IT0854A     44.4181      8.9274         ap
Italy             IT1737A     45.5153      10.2194        ap
Italy             IT1034A     45.6608      9.1569         ap
Italy             IT2039A     44.3517      9.2226         ap
Italy             IT0840A     45.2847      9.8642         ap
Italy             IT0620A     37.1025      15.2656        ap
Italy             IT0614A     37.1561      15.1909        ap
Italy             IT1464A     45.4975      9.5564         ap
Italy             IT0885A     42.0917      11.8025        ap
Italy             IT0825A     41.9475      12.4697        ap
Italy             IT2233A     45.7343      7.3296         ap
Italy             IT1026A     44.5728      8.9464         ap
Italy             IT1742A     40.3141      15.9046        ap
Italy             IT1544A     44.1067      9.8578         ap
Italy             IT1491A     40.8536      14.2717        ap
Italy             IT1588A     45.8169      8.8203         ap
Italy             IT0992A     41.67        13.6744        ap
Italy             IT1497A     40.8637      14.2545        ap
Italy             IT2227A     40.9188      14.7855        ap
Italy             IT0867A     42.4042      12.8583        ap
Italy             IT2284A     45.7324      7.3219         ap
Italy             IT2212A     40.9243      14.4813        ap
Italy             IT2270A     40.8159      14.3493        ap
Italy             IT2211A     40.9797      14.401         ap
Italy             IT2290A     40.364       16.0975        ap
Italy             IT0889A     41.725       13.0094        ap
Italy             IT2269A     40.6614      14.8045        ap
Italy             IT1487A     41.078       14.3312        ap
Italy             IT0956A     41.8578      12.5686        ap
Italy             IT0953A     41.9328      12.5069        ap
Italy             IT1967A     46.1686      9.8803         ap
Italy             IT1812A     45.9131      9.4969         ap
Latvia            LV0018A     56.9589      24.1258        ap
Latvia            LV0010R     56.1623      21.1733        ap
Latvia            LV0012A     56.5232      21.0047        ap
Latvia            LV0022A     57.404       21.5903        ap
Latvia            LV0026A     56.9548      24.1048        ap
Lithuania         LT00041     54.8951      23.9862        ap
Lithuania         LT00022     55.9378      23.308         ap
Lithuania         LT00051     55.4633      26.0042        ap
Lithuania         LT00031     55.7078      21.1411        ap
Lithuania         LT00003     54.7153      25.2894        ap
Luxembourg        LU0113A     49.5227      5.9032         ap
Luxembourg        LU0101A     49.5977      6.1376         ap
Malta             MT00005     35.8958      14.49          ap
Malta             MT00004     35.8523      14.539         ap
Malta             MT00007     36.0671      14.1972        ap
Norway            NO0094A     69.6562      30.4215        ap
Norway            NO0047R     69.455       30.0408        ap
Norway            NO0002R     58.3885      8.2519         ap
Norway            NO0091A     58.1368      7.9676         ap
Poland            PL0503A     51.7491      18.0484        ap
Poland            PL0008A     50.2646      18.975         ap
Poland            PL0248A     53.381       14.6633        ap
Poland            PL0184A     50.8364      19.1301        ap
Poland            PL0560A     54.5462      17.7462        ap
Poland            PL0572A     52.393       16.9284        ap
Poland            PL0005R     54.1248      22.0381        ap
Poland            PL0591A     51.6427      15.1278        ap
Poland            PL0505A     51.3176      15.4317        ap
Poland            PL0085A     51.2731      22.5517        ap
Poland            PL0494A     50.6769      17.9503        ap
Poland            PL0501A     50.0106      19.9492        ap
Poland            PL0575A     52.4377      15.1224        ap
Poland            PL0542A     53.4918      18.7525        ap
Poland            PL0100A     51.7764      19.4529        ap
Poland            PL0213A     51.9398      15.5189        ap
Poland            PL0190A     51.2045      16.1805        ap
Poland            PL0766A     52.2454      15.5276        ap
