ES_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
113    2    5    5    5    1    1    1    1    1    1    1    2    3
114    2    5    5    5    1    1    1    1    1    1    1    2    3
115    2    5    5    5    1    1    1    1    1    1    1    2    3
116    2    5    5    5    1    1    1    1    1    1    1    2    3
117    2    5    5    5    1    1    1    1    1    1    1    2    3
118    2    5    5    5    1    1    1    1    1    1    1    2    3
119    2    5    5    5    1    1    1    1    1    1    1    2    3
120    2    5    5    5    1    1    1    1    1    1    1    2    3
121    2    5    5    5    1    1    1    1    1    1    1    2    3
122    2    5    5    5    1    1    1    1    1    1    1    2    3
123    2    5    5    5    1    1    1    1    1    1    1    2    3
124    2    5    5    5    1    1    1    1    1    1    1    2    3
125    2    5    5    5    1    1    1    1    1    1    1    2    3
126    2    5    5    5    1    1    1    1    1    1    1    2    3
127    2    5    5    5    1    1    1    1    1    1    1    2    3
128    2    5    5    5    1    1    1    1    1    1    1    2    3
129    2    5    5    5    1    1    1    1    1    1    1    2    3
130    2    5    5    5    1    1    1    1    1    1    1    2    3
131    2    5    5    5    1    1    1    1    1    1    1    2    3
132    2    5    5    5    1    1    1    1    1    1    1    2    3
133    2    5    5    5    1    1    1    1    1    1    1    2    3
134    2    5    5    5    1    1    1    1    1    1    1    2    3
135    2    5    5    5    1    1    1    1    1    1    1    2    3
136    2    5    5    5    1    1    1    1    1    1    1    2    3
137    2    5    5    5    1    1    1    1    1    1    1    2    3
138    2    5    5    5    1    1    1    1    1    1    1    2    3
139    2    5    5    5    1    1    1    1    1    1    1    2    3
140    2    5    5    5    1    1    1    1    1    1    1    2    3
141    2    5    5    5    1    1    1    1    1    1    1    2    3
142    2    5    5    5    1    1    1    1    1    1    1    2    3
143    2    5    5    5    1    1    1    1    1    1    1    2    3
144    2    5    5    5    1    1    1    1    1    1    1    2    3
145    2    5    5    5    1    1    1    1    1    1    1    2    3
146    2    5    5    5    1    1    1    1    1    1    1    2    3
147    2    5    5    5    1    1    1    1    1    1    1    2    3
148    2    5    5    5    1    1    1    1    1    1    1    2    3
149    2    5    5    5    1    1    1    1    1    1    1    2    3
150    2    5    5    5    1    1    1    1    1    1    1    2    3
151    2    5    5    5    1    1    1    1    1    1    1    2    3
152    2    5    5    5    1    1    1    1    1    1    1    2    3
153    2    5    5    5    1    1    1    1    1    1    1    2    3
154    2    5    5    5    1    1    1    1    1    1    1    2    3
155    2    5    5    5    1    1    1    1    1    1    1    2    3
156    2    5    5    5    1    1    1    1    1    1    1    2    3
157    2    5    5    5    1    1    1    1    1    1    1    2    3
158    2    5    5    5    1    1    1    1    1    1    1    2    3
159    2    5    5    5    1    1    1    1    1    1    1    2    3
160    2    5    5    5    1    1    1    1    1    1    1    2    3
161    2    5    5    5    1    1    1    1    1    1    1    2    3
162    2    5    5    5    1    1    1    1    1    1    1    2    3
163    2    5    5    5    1    1    1    1    1    1    1    2    3
164    2    5    5    5    1    1    1    1    1    1    1    2    3
165    2    5    5    5    1    1    1    1    1    1    1    2    3
166    2    5    5    5    1    1    1    1    1    1    1    2    3
167    2    5    5    5    1    1    1    1    1    1    1    2    3
168    2    5    5    5    1    1    1    1    1    1    1    2    3
169    2    5    5    5    1    1    1    1    1    1    1    2    3
170    2    5    5    5    1    1    1    1    1    1    1    2    3
171    2    5    5    5    1    1    1    1    1    1    1    2    3
172    2    5    5    5    1    1    1    1    1    1    1    2    3
173    2    5    5    5    1    1    1    1    1    1    1    2    3
174    2    5    5    5    1    1    1    1    1    1    1    2    3
175    2    5    5    5    1    1    1    1    1    1    1    2    3
176    2    5    5    5    1    1    1    1    1    1    1    2    3
177    2    5    5    5    1    1    1    1    1    1    1    2    3
178    2    5    5    5    1    1    1    1    1    1    1    2    3
179    2    5    5    5    1    1    1    1    1    1    1    2    3
  1    3    5    5    5    1    1    1    1    1    1    1    2    3
  2    3    5    5    5    1    1    1    1    1    1    1    2    3
  3    3    5    5    5    1    1    1    1    1    1    1    2    3
  4    3    5    5    5    1    1    1    1    1    1    1    2    3
  5    3    5    5    5    1    1    1    1    1    1    1    2    3
  6    3    5    5    5    1    1    1    1    1    1    1    2    3
  7    3    5    5    5    1    1    1    1    1    1    1    2    3
  8    3    5    5    5    1    1    1    1    1    1    1    2    3
  9    3    5    5    5    1    1    1    1    1    1    1    2    3
 10    3    5    5    5    1    1    1    1    1    1    1    2    3
 11    3    5    5    5    1    1    1    1    1    1    1    2    3
 12    3    5    5    5    1    1    1    1    1    1    1    2    3
 13    3    5    5    5    1    1    1    1    1    1    1    2    3
 14    3    5    5    5    1    1    1    1    1    1    1    2    3
 15    3    5    5    5    1    1    1    1    1    1    1    2    3
 16    3    5    5    5    1    1    1    1    1    1    1    2    3
 17    3    5    5    5    1    1    1    1    1    1    1    2    3
 18    3    5    5    5    1    1    1    1    1    1    1    2    3
 19    3    5    5    5    1    1    1    1    1    1    1    2    3
 20    3    5    5    5    1    1    1    1    1    1    1    2    3
 21    3    5    5    5    1    1    1    1    1    1    1    2    3
 22    3    5    5    5    1    1    1    1    1    1    1    2    3
 23    3    5    5    5    1    1    1    1    1    1    1    2    3
 24    3    5    5    5    1    1    1    1    1    1    1    2    3
 25    3    5    5    5    1    1    1    1    1    1    1    2    3
 26    3    5    5    5    1    1    1    1    1    1    1    2    3
 27    3    5    5    5    1    1    1    1    1    1    1    2    3
 28    3    5    5    5    1    1    1    1    1    1    1    2    3
 29    3    5    5    5    1    1    1    1    1    1    1    2    3
 30    3    5    5    5    1    1    1    1    1    1    1    2    3
 31    3    5    5    5    1    1    1    1    1    1    1    2    3
 32    3    5    5    5    1    1    1    1    1    1    1    2    3
 33    3    5    5    5    1    1    1    1    1    1    1    2    3
 34    3    5    5    5    1    1    1    1    1    1    1    2    3
 35    3    5    5    5    1    1    1    1    1    1    1    2    3
 36    3    5    5    5    1    1    1    1    1    1    1    2    3
 37    3    5    5    5    1    1    1    1    1    1    1    2    3
 38    3    5    5    5    1    1    1    1    1    1    1    2    3
 39    3    5    5    5    1    1    1    1    1    1    1    2    3
 40    3    5    5    5    1    1    1    1    1    1    1    2    3
 41    3    5    5    5    1    1    1    1    1    1    1    2    3
 42    3    5    5    5    1    1    1    1    1    1    1    2    3
 43    3    5    5    5    1    1    1    1    1    1    1    2    3
 44    3    5    5    5    1    1    1    1    1    1    1    2    3
 45    3    5    5    5    1    1    1    1    1    1    1    2    3
 46    3    5    5    5    1    1    1    1    1    1    1    2    3
