GH_01x01
           i           j   heigt(m a.s.l.)
           6          94       579.1818
           6          95       590.5067
           6          96       609.5497
           6          97       626.9612
           6          98       655.9562
           6          99       685.7245
           6         100       692.0839
           7           1       357.2469
           7           2       365.1329
           7           3       365.8816
           7           4       342.4517
           7           5       313.7784
           7           6       310.8703
           7           7       319.7089
           7           8       310.4014
           7           9       301.4315
           7          10       300.0776
           7          11       294.9897
           7          12       285.6559
           7          13       274.1729
           7          14       276.0211
           7          15       289.2661
           7          16       296.8758
           7          17       299.2518
           7          18       292.7431
           7          19       269.4808
           7          20       258.6270
           7          21       275.8979
           7          22       277.2184
           7          23       264.1912
           7          24       264.4844
           7          25       232.1755
           7          26       199.6623
           7          27       222.3271
           7          28       238.6821
           7          29       236.3057
           7          30       238.0082
           7          31       235.9196
           7          32       235.0131
           7          33       236.0108
           7          34       237.3575
           7          35       235.5806
           7          36       231.5648
           7          37       237.2334
           7          38       244.1896
           7          39       243.0078
           7          40       246.0761
           7          41       252.4777
           7          42       255.2516
           7          43       259.4304
           7          44       259.8997
           7          45       249.1792
           7          46       239.6814
           7          47       236.7082
           7          48       235.9585
           7          49       240.3733
           7          50       248.6025
           7          51       261.0551
           7          52       276.0560
           7          53       286.3291
           7          54       292.8063
           7          55       299.6452
           7          56       304.2399
           7          57       303.8505
           7          58       304.0415
           7          59       306.6866
           7          60       306.8221
           7          61       307.3725
           7          62       314.9252
           7          63       330.5772
           7          64       353.8820
           7          65       379.3781
           7          66       399.5687
           7          67       415.6793
           7          68       435.4988
           7          69       464.0551
           7          70       496.8782
           7          71       518.7820
           7          72       515.0379
           7          73       486.7169
           7          74       457.9279
           7          75       448.3968
           7          76       450.0570
           7          77       454.3157
           7          78       456.6534
           7          79       453.1128
           7          80       447.7369
           7          81       443.5415
           7          82       440.2003
           7          83       435.2763
           7          84       432.7154
           7          85       443.7253
           7          86       464.2365
           7          87       484.4257
           7          88       507.1834
           7          89       528.5574
           7          90       541.6670
           7          91       545.1168
           7          92       538.8783
           7          93       534.3418
           7          94       544.5507
           7          95       567.1236
           7          96       591.9060
           7          97       610.1320
           7          98       637.6433
           7          99       671.2006
           7         100       685.5414
           8           1       360.4859
           8           2       354.9288
           8           3       347.1760
           8           4       329.9357
           8           5       310.7869
           8           6       310.9185
           8           7       318.3694
           8           8       311.4650
           8           9       304.5158
           8          10       304.7582
           8          11       304.5672
           8          12       288.3924
           8          13       255.2608
           8          14       243.5118
           8          15       263.4450
           8          16       288.2100
           8          17       296.5656
           8          18       279.7823
           8          19       248.3033
           8          20       231.3855
           8          21       241.4658
           8          22       253.6095
           8          23       247.1861
           8          24       227.8327
           8          25       199.1367
           8          26       193.8399
           8          27       221.8539
           8          28       237.6273
           8          29       236.2426
           8          30       229.6303
           8          31       220.5243
           8          32       216.9947
           8          33       219.7111
           8          34       222.1622
           8          35       225.7417
           8          36       235.5627
           8          37       246.0139
           8          38       251.4119
           8          39       250.8588
           8          40       247.7826
           8          41       247.0147
           8          42       252.1691
           8          43       256.8507
           8          44       250.7265
           8          45       238.4920
           8          46       236.1611
           8          47       241.4906
           8          48       241.9003
           8          49       240.2216
           8          50       243.3190
           8          51       256.8526
           8          52       273.7375
           8          53       284.5667
           8          54       292.1293
           8          55       298.5002
           8          56       303.1404
           8          57       304.4551
           8          58       306.8423
           8          59       310.4481
           8          60       308.0876
           8          61       306.6029
           8          62       315.8127
           8          63       334.5991
           8          64       358.4418
           8          65       381.0673
           8          66       397.8977
           8          67       411.9160
           8          68       432.3987
           8          69       461.7117
           8          70       492.2159
           8          71       510.7444
           8          72       508.0906
           8          73       486.7253
           8          74       459.5538
           8          75       446.3460
           8          76       448.2969
           8          77       452.6533
           8          78       453.4016
           8          79       449.6260
           8          80       443.1187
           8          81       435.8332
           8          82       428.8910
           8          83       422.8203
           8          84       422.0815
           8          85       429.9321
           8          86       442.9879
           8          87       460.7992
           8          88       481.8699
           8          89       496.4137
           8          90       502.5439
           8          91       503.6848
           8          92       502.6093
           8          93       512.3361
           8          94       538.2261
           8          95       565.9025
           8          96       584.2396
           8          97       597.9153
           8          98       619.3630
           8          99       650.4880
           8         100       674.7323
           9           1       364.6097
           9           2       346.4421
           9           3       328.2480
           9           4       315.8477
           9           5       304.6075
           9           6       300.1841
           9           7       306.0115
           9           8       307.8642
           9           9       302.6814
           9          10       301.4792
           9          11       306.8595
           9          12       293.3369
           9          13       253.0131
           9          14       228.1304
           9          15       239.1100
           9          16       259.6008
           9          17       271.0386
           9          18       261.8445
           9          19       236.8515
           9          20       225.1994
           9          21       231.6107
           9          22       241.3340
           9          23       231.0950
           9          24       194.2921
           9          25       167.1503
           9          26       174.4113
           9          27       198.5275
           9          28       218.2821
           9          29       222.9717
           9          30       212.7928
           9          31       198.7726
           9          32       191.0192
           9          33       192.4854
           9          34       198.0476
           9          35       208.1053
           9          36       220.1357
           9          37       225.3323
           9          38       228.4306
           9          39       232.0970
           9          40       233.7114
           9          41       239.3303
           9          42       247.7197
           9          43       252.5356
           9          44       253.1017
           9          45       255.9286
           9          46       265.8820
           9          47       270.1188
           9          48       266.6276
           9          49       264.7231
           9          50       267.9319
           9          51       282.9608
           9          52       293.3186
           9          53       293.8737
           9          54       299.0966
           9          55       303.9511
           9          56       304.1388
           9          57       301.5353
           9          58       301.3251
           9          59       304.6941
           9          60       305.3233
           9          61       306.7649
           9          62       317.9731
           9          63       338.4271
           9          64       360.7581
           9          65       378.5405
           9          66       391.2789
           9          67       404.6220
           9          68       426.1551
           9          69       454.2106
           9          70       480.2596
           9          71       497.0278
           9          72       499.3399
           9          73       486.5603
           9          74       465.0781
           9          75       450.9229
           9          76       448.7663
           9          77       449.4188
           9          78       448.6307
           9          79       445.3120
           9          80       438.9600
           9          81       430.8529
           9          82       423.5190
           9          83       419.1948
           9          84       418.4404
           9          85       420.3426
           9          86       427.4749
           9          87       442.6988
           9          88       458.0224
           9          89       465.1167
           9          90       469.4945
           9          91       477.3553
           9          92       490.5525
           9          93       513.6528
           9          94       543.0620
           9          95       565.6345
           9          96       575.8173
           9          97       587.7784
           9          98       608.0931
           9          99       635.6337
           9         100       664.1500
          10           1       368.7679
          10           2       345.5583
          10           3       325.7302
          10           4       315.0052
          10           5       303.0428
          10           6       293.4023
          10           7       294.9526
          10           8       298.2828
          10           9       295.4200
          10          10       291.4363
          10          11       297.4146
          10          12       297.5745
          10          13       269.4098
          10          14       243.2595
          10          15       248.2953
          10          16       251.4766
          10          17       240.8734
          10          18       233.1472
          10          19       224.8909
          10          20       224.9020
          10          21       229.5630
          10          22       220.5812
          10          23       200.4705
          10          24       177.8792
          10          25       169.5851
          10          26       181.5356
          10          27       198.0193
          10          28       206.9657
          10          29       204.7836
          10          30       201.4864
          10          31       198.9917
          10          32       195.3629
          10          33       196.8425
          10          34       198.8605
          10          35       199.7080
          10          36       202.3521
          10          37       203.7279
          10          38       204.5520
          10          39       211.2932
          10          40       228.7401
          10          41       249.6225
          10          42       263.6127
          10          43       273.0043
          10          44       275.5667
          10          45       276.4203
          10          46       280.4852
          10          47       274.0787
          10          48       268.9103
          10          49       275.5504
          10          50       284.9034
          10          51       294.8455
          10          52       291.8881
          10          53       283.5221
          10          54       288.5367
          10          55       295.2767
          10          56       294.9172
          10          57       291.4927
          10          58       290.2828
          10          59       297.8141
          10          60       309.4065
          10          61       314.4077
          10          62       319.9446
          10          63       336.4962
          10          64       356.1469
          10          65       368.4790
          10          66       377.3939
          10          67       391.2708
          10          68       413.3647
          10          69       441.7559
          10          70       467.9826
          10          71       483.1711
          10          72       485.0443
          10          73       477.6264
          10          74       466.6498
          10          75       458.3132
          10          76       454.1036
          10          77       450.7594
          10          78       447.0808
          10          79       442.3445
          10          80       435.4835
          10          81       427.0991
          10          82       419.6703
          10          83       415.4253
          10          84       413.9599
          10          85       414.7593
          10          86       420.0582
          10          87       430.2058
          10          88       439.0543
          10          89       443.3088
          10          90       449.5701
          10          91       462.8638
          10          92       484.3330
          10          93       512.2244
          10          94       536.4618
          10          95       549.1119
          10          96       558.4043
          10          97       577.4301
          10          98       600.0884
          10          99       624.6222
          10         100       653.7108
          11           1       373.0087
          11           2       348.4395
          11           3       324.5025
          11           4       309.5617
          11           5       300.2487
          11           6       291.8795
          11           7       283.9746
          11           8       281.5028
          11           9       285.8946
          11          10       286.4980
          11          11       286.1208
          11          12       294.9755
          11          13       292.0082
          11          14       275.2769
          11          15       271.4688
          11          16       260.4601
          11          17       233.7806
          11          18       220.7649
          11          19       216.2188
          11          20       217.8896
          11          21       214.7269
          11          22       187.5383
          11          23       174.5502
          11          24       184.5560
          11          25       197.2721
          11          26       215.0667
          11          27       226.5988
          11          28       225.4779
          11          29       216.5794
          11          30       211.6954
          11          31       214.9691
          11          32       219.3451
          11          33       225.0771
          11          34       224.9317
          11          35       220.7977
          11          36       223.5214
          11          37       227.8459
          11          38       222.6869
          11          39       214.2041
          11          40       225.4543
          11          41       249.7914
          11          42       265.7337
          11          43       272.3561
          11          44       271.5370
          11          45       270.9006
          11          46       271.2474
          11          47       270.7722
          11          48       277.6172
          11          49       281.8085
          11          50       276.6461
          11          51       271.1090
          11          52       264.1945
          11          53       260.9911
          11          54       269.0455
          11          55       278.6739
          11          56       286.8848
          11          57       292.8832
          11          58       293.7804
          11          59       303.1357
          11          60       319.0926
          11          61       321.7977
          11          62       317.8033
          11          63       326.6060
          11          64       343.8190
          11          65       355.6334
          11          66       365.0810
          11          67       380.6676
          11          68       403.4424
          11          69       431.9330
          11          70       457.5278
          11          71       470.4133
          11          72       472.4919
          11          73       470.5886
          11          74       467.8385
          11          75       464.4455
          11          76       459.7264
          11          77       453.4392
          11          78       446.8201
          11          79       440.0193
          11          80       431.3817
          11          81       421.4945
          11          82       413.8392
          11          83       410.0288
          11          84       408.7520
          11          85       410.0901
          11          86       413.9846
          11          87       418.8270
          11          88       423.5437
          11          89       428.3210
          11          90       437.1044
          11          91       451.5482
          11          92       470.7018
          11          93       494.2708
          11          94       514.6304
          11          95       528.9742
          11          96       546.5736
          11          97       566.7678
          11          98       584.8942
          11          99       610.0985
          11         100       641.7185
          12           1       371.2079
          12           2       349.6257
          12           3       329.0510
          12           4       311.0081
          12           5       299.1522
          12           6       286.1425
          12           7       273.7524
          12           8       268.9989
          12           9       269.9991
          12          10       273.0896
          12          11       270.1290
          12          12       269.9254
          12          13       277.5531
          12          14       276.3565
          12          15       271.9490
          12          16       255.8008
          12          17       231.0579
          12          18       222.2998
          12          19       206.9736
          12          20       188.7972
          12          21       181.3861
          12          22       174.2977
          12          23       191.7042
