HR_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
 27    3    4    4    5    5    1    1    1    1    1    2    3    3
 28    3    4    4    5    5    1    1    1    1    1    2    3    3
 29    3    4    4    5    5    1    1    1    1    1    2    3    3
 30    3    4    4    5    5    1    1    1    1    1    2    3    3
 31    3    4    4    5    5    1    1    1    1    1    2    3    3
 32    3    4    4    5    5    1    1    1    1    1    2    3    3
 33    3    4    4    5    5    1    1    1    1    1    2    3    3
 34    3    4    4    5    5    1    1    1    1    1    2    3    3
 35    3    4    4    5    5    1    1    1    1    1    2    3    3
 36    3    4    4    5    5    1    1    1    1    1    2    3    3
 37    3    4    4    5    5    1    1    1    1    1    2    3    3
 38    3    4    4    5    5    1    1    1    1    1    2    3    3
 39    3    4    4    5    5    1    1    1    1    1    2    3    3
 40    3    4    4    5    5    1    1    1    1    1    2    3    3
 41    3    4    4    5    5    1    1    1    1    1    2    3    3
 42    3    4    4    5    5    1    1    1    1    1    2    3    3
 43    3    4    4    5    5    1    1    1    1    1    2    3    3
 44    3    4    4    5    5    1    1    1    1    1    2    3    3
 45    3    4    4    5    5    1    1    1    1    1    2    3    3
 46    3    4    4    5    5    1    1    1    1    1    2    3    3
 47    3    4    4    5    5    1    1    1    1    1    2    3    3
 48    3    4    4    5    5    1    1    1    1    1    2    3    3
 49    3    4    4    5    5    1    1    1    1    1    2    3    3
 50    3    4    4    5    5    1    1    1    1    1    2    3    3
 51    3    4    4    5    5    1    1    1    1    1    2    3    3
 52    3    4    4    5    5    1    1    1    1    1    2    3    3
 53    3    4    4    5    5    1    1    1    1    1    2    3    3
 54    3    4    4    5    5    1    1    1    1    1    2    3    3
 55    3    4    4    5    5    1    1    1    1    1    2    3    3
 56    3    4    4    5    5    1    1    1    1    1    2    3    3
 57    3    4    4    5    5    1    1    1    1    1    2    3    3
 58    3    4    4    5    5    1    1    1    1    1    2    3    3
 59    3    4    4    5    5    1    1    1    1    1    2    3    3
 60    3    4    4    5    5    1    1    1    1    1    2    3    3
 61    3    4    4    5    5    1    1    1    1    1    2    3    3
