HR_01x01
           i           j   heigt(m a.s.l.)
          13          10       768.8862
          13          11       789.2669
          13          12      1061.8131
          13          13      1149.1908
          13          14      1127.9189
          13          15      1140.0248
          13          16      1011.7540
          13          17      1006.8585
          13          18      1035.5723
          13          19       759.6191
          13          20       499.2900
          13          21       524.0710
          13          22       557.2690
          13          23       359.2013
          13          24       170.6194
          13          25       113.2838
          13          26        58.8195
          13          27        14.6672
          13          28         0.0000
          13          29         0.0000
          13          30         0.0887
          13          31         0.0000
          13          32         0.0000
          13          33         0.0000
          13          34         0.0000
          13          35         0.0000
          13          36         0.0000
          13          37         0.0000
          13          38         0.0000
          13          39         0.0000
          13          40         0.0000
          13          41         0.0000
          13          42         0.0000
          13          43         0.0000
          13          44         0.0508
          13          45         0.9133
          13          46         1.9556
          13          47         8.2659
          13          48        31.2812
          13          49        82.8257
          13          50       137.0822
          13          51       254.0625
          13          52       500.4081
          13          53       914.8470
          13          54      1171.5081
          13          55       894.6108
          13          56      1007.9229
          13          57      1581.5417
          13          58      1790.5361
          13          59      1913.1741
          13          60      1866.9746
          13          61      1606.2166
          13          62      1603.8851
          13          63      1698.5961
          13          64      1436.8230
          13          65      1052.1113
          14           1        67.8764
          14           2       136.0705
          14           3       245.0549
          14           4       437.7833
          14           5       562.2197
          14           6       516.8629
          14           7       760.7863
          14           8      1209.1257
          14           9      1186.0190
          14          10       863.9740
          14          11       876.6959
          14          12      1112.5242
          14          13      1023.9309
          14          14       988.4547
          14          15      1118.2434
          14          16      1181.5325
          14          17      1367.5239
          14          18      1226.0900
          14          19       740.0189
          14          20       479.1371
          14          21       455.0902
          14          22       433.9253
          14          23       273.2053
          14          24       131.0642
          14          25        70.7941
          14          26        21.7008
          14          27         0.0000
          14          28         0.0000
          14          29         0.2660
          14          30         0.0000
          14          31         0.0000
          14          32         0.0000
          14          33         0.0000
          14          34         0.0000
          14          35         0.0000
          14          36         0.0000
          14          37         0.0000
          14          38         0.0000
          14          39         0.0000
          14          40         0.0000
          14          41         0.0000
          14          42         0.0000
          14          43         0.0000
          14          44         0.0030
          14          45         0.0000
          14          46         0.0007
          14          47         7.1473
          14          48        35.1346
          14          49        86.3652
          14          50       141.3069
          14          51       319.3513
          14          52       716.5696
          14          53      1197.8676
          14          54      1328.8708
          14          55       908.7422
          14          56      1075.6855
          14          57      1675.0276
          14          58      1779.7209
          14          59      1943.3589
          14          60      1921.6743
          14          61      1572.9185
